aqs id,Date_local,latitude_x,longitude_x,Avg temp Centrigrade,sunshine minutes,pm2.5_conc
01-073-0023,7/21/2017,33.553056,-86.815,30.1,,15.6
01-073-0023,7/24/2017,33.553056,-86.815,26,,10.5
01-073-0023,7/27/2017,33.553056,-86.815,28.7,,19.2
01-073-0023,7/30/2017,33.553056,-86.815,25,,9.8
01-073-0023,8/2/2017,33.553056,-86.815,25.7,,17.9
01-073-0023,8/5/2017,33.553056,-86.815,26.3,,14.2
01-073-0023,8/11/2017,33.553056,-86.815,24.9,,6.4
01-073-0023,8/14/2017,33.553056,-86.815,27,,8.9
01-073-0023,8/17/2017,33.553056,-86.815,28.4,,9.2
01-073-0023,8/20/2017,33.553056,-86.815,28.4,,16.5
01-073-0023,8/23/2017,33.553056,-86.815,25.8,,7.2
01-073-0023,8/26/2017,33.553056,-86.815,26.2,,11.7
01-073-0023,8/29/2017,33.553056,-86.815,23.7,,14.5
01-073-0023,9/1/2017,33.553056,-86.815,24.2,,3.6
01-073-0023,9/4/2017,33.553056,-86.815,23.7,,16.9
01-073-0023,9/7/2017,33.553056,-86.815,18.1,,8.7
01-073-0023,9/10/2017,33.553056,-86.815,21.5,,6.3
01-073-0023,9/13/2017,,-86.815,16.4,,8
01-073-0023,9/16/2017,33.553056,-86.815,24.5,,14.2
01-073-0023,9/19/2017,33.553056,-86.815,24.5,,11.6
01-073-0023,9/22/2017,33.553056,-86.815,26.2,,18.9
01-073-0023,9/25/2017,33.553056,-86.815,25.4,,12.4
01-073-0023,10/1/2017,33.553056,-86.815,22,,6.1
01-073-0023,10/4/2017,33.553056,-86.815,22.5,,12.4
01-073-0023,10/7/2017,33.553056,-86.815,24.5,,6
01-073-0023,10/10/2017,33.553056,-86.815,26.1,,8.6
01-073-0023,10/13/2017,33.553056,-86.815,21.9,,13.8
01-073-0023,10/16/2017,33.553056,-86.815,17.1,,2.9
01-073-0023,10/19/2017,33.553056,-86.815,16.1,,15.8
